"variable","question","choices"
"whz_neg3_girl2",NA,""
"flag_whz_neg3_2",NA,""
"sam2",NA,""
"rand",NA,""
"cSex3","${cName}'s gender","1=Male; 0=Female"
"cExactDOB3","Do you know ${cName}'s exact date of birth?","1=Yes; 0=No"
"cDOB3","Date of birth for ${cName}",""
"cAgeMonths3","Age in months for ${cName}",""
"cAge3",NA,""
"cAgeConfirm3","${cName} is ${cAge3} months old.",""
"cMuacInit3","Remeasure: MUAC (mm)",""
"cWeightInit3","Remeasure: Weight (kg)",""
"cHeightInit3","Remeasure: Height (cm)",""
"lenHeightInit3","Was ${cName} measured for length (lying down) or height (standing)?","0=Length; 1=Height"
"oedema3","Oedema","0=No; 1=Yes; 99=Child not able to be examined"
"oedemaConfirm3","Please confirm with team leader. Does the child have bilateral oedema?","0=No; 1=Yes; 99=Child not able to be examined"
"cMuac3",NA,""
"cWeight3",NA,""
"cHeight3",NA,""
"whz_neg3_boy3",NA,""
"whz_neg3_girl3",NA,""
"flag_whz_neg3_3",NA,""
"sam3",NA,""
"samCase",NA,""
"samRef",NA,""
"samRefConfirm","${cName} has conditions indicating SEVERE ACUTE MALNUTRITION.  Have you referred the child for management of severe acute malnutrition services?",""
"calc_mom_post",NA,""
"calc_momanthro",NA,""
"calc_momage",NA,""
"mom_anthro_confirm","${calc_momanthro} is ${calc_momage} years old.",""
"mom_muac","MUAC (cm)",""
"geopoint","Record GPS points.",""
